form	lemma	POS	morph
AD	ad2	PRE	MORPH=empty
LECTOREM.	lector	NOMcom	Case=Acc|Numb=Sing
Quod	quod2	CONsub	Case=Acc|Gend=Neut
sæpius	saepe	ADV	Deg=Comp
,	,	PUNC	MORPH=empty
Lector	lector	NOMcom	Case=Voc|Numb=Sing
optime	bene	ADJqua	Numb=Sing|Gend=Masc|Deg=Sup
,	,	PUNC	MORPH=empty
iuris	ius1	NOMcom	Case=Gen|Numb=Sing
Pontificij	pontificius	ADJqua	Case=Gen|Numb=Sing|Gend=MascNeut|Deg=Pos
canones	cano	NOMcom	Case=Nom|Numb=Plur
,	,	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
Gratiani	Gratianus	NOMpro	Case=Gen|Numb=Sing
Decretum	decerno	NOMcom	Case=Acc|Numb=Sing|Mood=Par|Tense=Perf|Voice=Pass
citauimus	cito1	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
ea	is	PROdem	Case=Abl|Numb=Sing|Gend=Fem
solùm	solum2	ADV	Numb=Sing|Deg=Pos
mente	mens	NOMcom	Case=Abl|Numb=Sing
fecimus	facio	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=1
,	,	PUNC	MORPH=empty
ut	ut4	CONsub	MORPH=empty
ex	ex	PRE	MORPH=empty
his	hic1	PROdem	Case=Abl|Numb=Plur|Gend=Com
tanquam	tamquam1	ADVrel	MORPH=empty
ex	ex	PRE	MORPH=empty
quadam	quidam	PROind	Case=Abl|Numb=Sing|Gend=Fem
illius	ille	PROdem	Case=Gen|Numb=Sing|Gend=Com
temporis	tempus1	NOMcom	Case=Gen|Numb=Sing
historia	historia	NOMcom	Case=Abl|Numb=Sing
,	,	PUNC	MORPH=empty
quæ	quis1	PROrel	Case=Nom|Numb=Plur|Gend=Fem
veteris	uetus	ADJqua	Case=Gen|Numb=Sing|Gend=Com|Deg=Pos
Disciplinæ	disciplina	NOMcom	Case=Gen|Numb=Sing
Ecelesiasticæ	ecclesiasticus	ADJqua	Case=Gen|Numb=Sing|Gend=Fem|Deg=Pos
vestigia	uestigium	NOMcom	Case=Acc|Numb=Plur
tũc	tunc	ADV	MORPH=empty
adhuc	adhuc	ADV	MORPH=empty
(	(	PUNC	MORPH=empty
et	et2	CONcoo	MORPH=empty
si	si2	CONsub	MORPH=empty
tamẽ	tamen	ADV	MORPH=empty
corruptioribus	corruptus	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Comp
iam	iam	ADV	Deg=Pos
Ecclesiæ	ecclesia	NOMcom	Case=Gen|Numb=Sing
tẽporibus	tepor	NOMcom	Case=Abl|Numb=Plur
)	)	PUNC	MORPH=empty
restarent	resto	VER	Numb=Plur|Mood=Sub|Tense=Impa|Voice=Act|Person=3
,	,	PUNC	MORPH=empty
intelligatur	intelligo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
:	:	PUNC	MORPH=empty
non	non	ADVneg	MORPH=empty
vt	ut4	CONsub	MORPH=empty
ex	ex	PRE	MORPH=empty
istis	iste	PROdem	Case=Abl|Numb=Plur|Gend=Com
scriptoribus	scriptor	NOMcom	Case=Abl|Numb=Plur
quicquam	quisquam	PROind	Case=Nom|Numb=Sing|Gend=Neut
dubium	dubius	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
et	et2	CONcoo	MORPH=empty
anceps	anceps2	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
decidatur	decido2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Pass|Person=3
.	.	PUNC	MORPH=empty
Nam	nam	CONcoo	MORPH=empty
etiam	etiam	ADV	Deg=Pos
ex	ex	PRE	MORPH=empty
